Player,Pos,Tm,G,MP,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%
Alex Abrines\abrinal01,SG,OKC,68,1055,.560,.724,.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9
Quincy Acy\acyqu01,PF,TOT,38,558,.565,.529,.353,3.9,18.0,11.0,4.9,1.2,2.0,9.7,16.8
Steven Adams\adamsst01,C,OKC,80,2389,.589,.002,.392,13.0,15.5,14.2,5.4,1.8,2.6,16.0,16.2
Arron Afflalo\afflaar01,SG,SAC,61,1580,.559,.360,.221,0.7,8.4,4.6,7.4,0.7,0.4,8.4,14.4
Alexis Ajinca\ajincal01,C,NOP,39,584,.529,.022,.225,8.3,23.8,16.0,3.1,1.7,3.1,13.7,17.2
Cole Aldrich\aldrico01,C,MIN,62,531,.549,.000,.256,11.0,23.9,17.4,6.4,2.4,3.7,15.1,9.4
LaMarcus Aldridge\aldrila01,PF,SAS,72,2335,.532,.053,.258,8.6,16.6,12.7,9.9,1.0,3.1,7.7,24.5
Lavoy Allen\allenla01,PF,IND,61,871,.485,.006,.196,13.7,14.6,14.2,9.1,1.0,2.4,13.7,10.9
Tony Allen\allento01,SG,MEM,71,1914,.493,.091,.218,9.6,13.8,11.7,8.4,3.1,1.4,13.3,17.9
Al-Farouq Aminu\aminual01,SF,POR,61,1773,.506,.455,.292,4.8,23.5,14.1,7.9,1.7,2.0,15.2,15.4
Chris Andersen\anderch01,C,CLE,12,114,.497,.136,.636,9.0,20.6,15.0,5.9,2.2,5.0,15.1,13.0
Alan Anderson\anderal01,SF,LAC,30,308,.494,.550,.200,1.1,7.4,4.4,4.9,0.5,0.0,7.4,13.7
Justin Anderson\anderju01,SF,TOT,75,1228,.537,.442,.294,6.2,16.9,11.3,8.8,1.7,1.6,11.7,20.9
Kyle Anderson\anderky01,SG,SAS,72,1020,.525,.191,.273,3.7,19.0,11.5,12.4,2.5,2.1,14.3,12.1
Ryan Anderson\anderry01,PF,HOU,72,2116,.583,.655,.194,5.8,11.2,8.5,4.7,0.7,0.5,6.2,17.9
Giannis Antetokounmpo\antetgi01,SF,MIL,80,2845,.599,.143,.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3
Carmelo Anthony\anthoca01,SF,NYK,74,2538,.535,.303,.263,2.6,15.9,9.3,14.5,1.2,1.1,9.0,29.1
